Date,Close,High,Low,Open,Volume
2015-01-01,11091.466796875,11150.455954533916,10503.909355234731,10503.909355234731,13023
2015-01-02,11168.125,11275.447775946039,11105.493263652092,11106.392493875868,13252
2015-01-05,10863.3759765625,11150.455237412827,10718.824712093621,11150.455237412827,9319
2015-01-06,10466.9033203125,11006.262246714365,10386.107845606493,10880.684409682994,11751
2015-01-07,10240.9697265625,10466.901248615546,10208.058262074377,10466.1372544295,9301
2015-01-08,10066.119140625,10476.0329186299,9891.533227890892,10476.0329186299,16214
2015-01-09,9919.6318359375,10291.68828213527,9847.468621901558,10076.097870108888,11018
2015-01-12,9868.509765625,10069.577236299037,9774.629805194725,10017.107518643255,11566
2015-01-13,9775.1259765625,10179.240350830993,9756.646972903693,9869.05073987263,10684
2015-01-14,9747.205078125,9981.454529008488,9603.777871154112,9758.670262381293,12513
2015-01-15,9810.287109375,9891.532206738551,9676.166573691835,9726.073849825832,10458
2015-01-16,10472.837890625,10552.464535155017,9761.231670515957,9761.231670515957,21135
2015-01-19,10594.8662109375,10790.76317277476,10458.047974947538,10462.04972525502,11554
2015-01-20,10445.052734375,10689.148937522546,10350.363973931093,10549.993069929242,9930
2015-01-21,10532.279296875,10682.855580840229,10413.985730783728,10413.985730783728,9031
2015-01-22,10595.9443359375,10646.886080481347,10485.249444251067,10485.249444251067,10286
2015-01-23,10695.080078125,10742.200074784183,10542.526256893685,10637.575030206146,13519
2015-01-27,10678.3583984375,10796.157552138158,10498.51236225329,10700.883938838679,15429
2015-01-28,10673.5029296875,10790.762904511674,10484.97983633598,10717.295618105883,7944
2015-01-29,10479.0859375,10710.727205595336,10408.585962955756,10691.843377930363,6202
2015-01-30,10606.373046875,10681.638773383407,10478.72717295181,10503.00638291231,4918
2015-02-02,10615.591796875,10789.862421924925,10520.992610761032,10610.915624528221,3843
2015-02-03,10788.46875,10817.738515239525,10568.831789705133,10651.380940400015,8462
2015-02-04,10710.818359375,10880.728047592846,10625.301935579717,10852.807131052099,4155
2015-02-05,10611.224609375,10772.771572743723,10486.816534335334,10628.894823858998,3284
2015-02-06,10470.6806640625,10656.776519441804,10414.92839470081,10593.875194748814,5769
2015-02-09,10130.5478515625,10552.152476038136,10075.919614539653,10470.636903605606,7535
2015-02-10,10307.8740234375,10327.657084461283,10029.202280754384,10129.826474223453,5036
2015-02-11,10529.177734375,10608.220433360206,10342.453079188674,10342.453079188674,2982
2015-02-12,10584.4765625,10830.326402166946,10399.595220944928,10645.984247364204,15118
2015-02-13,10581.10546875,10759.288266310927,10540.100926995148,10610.915298158707,8710
