Date,Close,High,Low,Open,Volume
2015-01-01,163.9862518310547,167.48348432809084,161.26512783880796,162.96104590317773,154345
2015-01-02,163.6892547607422,165.37559691177447,162.88441761781039,164.99233068648914,287810
2015-01-05,162.77902221679688,164.60908007579766,162.30952657052774,164.42703044520124,112950
2015-01-06,160.47947692871094,164.6090735081043,159.05183770056826,163.26766369518947,230500
2015-01-07,161.61968994140625,163.440171942205,159.29140751389556,159.29140751389556,85480
2015-01-08,162.5586700439453,163.84257914361197,160.31661720659673,161.94545863663342,380605
2015-01-09,166.0750732421875,167.42605956297928,161.15979067341283,161.15979067341283,454685
2015-01-12,163.46888732910156,169.04527572249253,162.88441912273905,169.01653258284452,497120
2015-01-13,163.9000701904297,169.33274358650772,162.88444013819793,166.3337635421111,247960
2015-01-14,161.9167022705078,166.4870369995137,160.99687792460466,166.4870369995137,1016555
2015-01-15,162.04122924804688,164.79111112307672,161.0735095451929,162.8844002335735,550140
2015-01-16,160.25914001464844,164.51330117865365,160.01002786923127,162.69283365573247,1124635
2015-01-19,154.9989013671875,164.216238543061,153.87787505823897,161.5430242094317,2052945
2015-01-20,154.68270874023438,156.4648564627116,154.26112320715848,155.6025184304805,311040
2015-01-21,153.11135864257812,156.1103383341879,152.9197328360391,155.0276459481921,1180825
2015-01-22,149.93991088867188,154.8360257155746,149.47041521865486,154.49109340334246,1337590
2015-01-23,149.19253540039062,154.06948245636283,148.70387284351094,150.4285341205069,1045085
2015-01-27,152.56521606445312,154.64438612278246,149.70995195441012,151.00345178734122,366310
2015-01-28,155.5929718017578,156.5606917808988,151.76997275920527,153.1017920624315,1628450
2015-01-29,166.7841033935547,170.089696680808,156.56069586863143,156.56069586863143,1486110
2015-01-30,162.77902221679688,168.32666745279977,159.6650553905846,167.54099727141352,216150
2015-02-02,155.12347412109375,163.6413718496039,151.57834501370326,163.6413718496039,280565
2015-02-03,152.14366149902344,157.85420550271604,140.3105932576873,155.12348957465323,623410
2015-02-04,152.8239288330078,154.8360365653749,143.72156316583806,154.8360365653749,573470
2015-02-05,153.887451171875,156.84811152155044,151.08008269387915,153.29340679132326,178545
2015-02-06,154.11740112304688,157.89247455793563,148.89550690132089,152.91972164468967,394410
2015-02-09,154.5198516845703,155.21929255120003,152.20114548852777,153.4946308210528,84475
2015-02-10,156.3307647705078,158.42910228478814,153.3126026644453,156.9343854956276,408225
2015-02-11,154.16529846191406,158.09369304625946,153.5137678354979,155.79415426817644,114865
2015-02-12,155.66961669921875,156.33073822792068,153.72458605049147,154.62524351741214,285495
2015-02-13,156.1391143798828,156.5606853555945,154.88393376681623,156.17743369763346,198490
2015-02-16,157.1068115234375,157.80625227678007,156.08159082597305,156.3690368377928,159555
2015-02-18,158.84104919433594,159.05184196172547,156.42652316249058,156.5606626853647,343410
2015-02-19,157.02059936523438,160.18246198246118,155.44924423069335,159.4255348675774,618580
2015-02-20,157.0972442626953,158.66859931366142,155.2959294652053,157.4134188115113,1021050
2015-02-23,155.57379150390625,157.135570449616,153.49462138102916,156.17742672736227,911965
2015-02-24,155.8324737548828,158.57276502224693,153.6766506654565,156.17740603399545,264835
2015-02-25,153.9066162109375,156.75230396618753,153.62874637053162,155.32466469196916,798805
2015-02-26,154.3377685546875,156.8289330734127,150.42854102087816,153.3029717410223,467555
2015-02-27,156.48406982421875,156.94397480569748,151.87538535314536,154.0407999386677,999780
2015-03-02,155.0851593017578,157.1355864919086,154.26115503169078,157.1355864919086,2925310
2015-03-03,156.57986450195312,157.84462138779082,154.47195097900504,154.66357682288856,2047680
2015-03-04,160.9777069091797,163.6509358390233,157.1355561947316,157.1355561947316,648955
2015-03-05,177.12237548828125,184.48090920014798,161.2555243794751,161.70585291143695,2675105
2015-03-09,173.69224548339844,178.15719752158807,172.08257148617292,175.91514533112013,1467740
2015-03-10,166.03668212890625,175.53188780546867,163.88085923512156,173.39523187548167,515635
